Company,Level Audition,Name,Re-Evaluation,ep2,ep4,ep6,note
Individual Trainees,B,Kana Chen Jue,D,3,3,4,
Individual Trainees,B,GoGo Gou Xueying,,34,39,34,
Individual Trainees,F,Victoria Li Yichen,,63,42,45,
Individual Trainees,D,Ranee Wang Wanchen,,100,57,52,
Individual Trainees,C,Zoe Wang Xinyu,B,6,9,14,
Individual Trainees,B,Hikari Xia Yan,,67,30,15,
Individual Trainees,B,Pumpkin Xu Baiyi,,107,77,90,
Individual Trainees,B,Bunny Zhang Chuhan,A,27,41,29,
Individual Trainees,B,Yume Ma Shujun,A,25,36,40,
Ladybees Multimedia,C,Yeong Quan Xiaoying (权笑迎),,85,99,105,
AMG Asian Music Group,A,Sarah Liu Yuxin,A,23,16,11,
Bymoon Entertainment,C,Juicy Zuo Zhuo,,52,48,62,
Banana Entertainment,B,Mizuki Lin Huibo,,96,103,103,
Banana Entertainment,C,Hannah Du Ziyi,,81,102,104,
Banana Entertainment,D,Suzanne Su Qinrou,,83,78,85,
Banana Entertainment,B,Sophia Wang Shuhui,,57,60,61,
South Fest,D,Eileen Ai Lin,,55,88,100,
J N E R A,B,Shaking Xie Keyin,A,32,44,13,
M.Nation,B,Meddhi Fu Ruqiao,,66,71,33,
Cool Young Entertainment,A,Flora Dai Yanni,,33,38,38,
Mon Young Pictures,A,Weiwei Duan Xiaowei,D,44,40,42,
Mon Young Pictures,B,Kiki Wei Qiqi,,78,73,78,
D.Wang Entertainment,A,Yvonne Wang Qing,,69,15,16,
D.Wang Entertainment,B,Jade Zhang Yu,C,59,13,12,
One Cool Jasco,F,Eva Yao Yifan,,106,82,96,
One Cool Jasco,C,Jennifer Zhou Ziqian,,38,53,57,
Digital Mars Entertainment,D,Luna Qinniu Zhengwei,,16,27,39,
Digital Mars Entertainment,C,ET Yang Yutong,,101,98,94,
Encore Music,D,Heart Cheng Manxin,,58,43,55,
Feibao Media,D,Rio Wang Rui,,76,74,87,
Hot Idol,C,Wang Yaoyao,,86,106,91,
Hot Idol,B,Roada Xu Ziyin,,60,49,48,
Alliance Art Group,C,Ice Shen Bing,,64,75,108,
Alliance Art Group,C,Ali Shen Jie,,82,90,99,
Alliance Art Group,C,Claire Shen Qing,,80,89,98,
Alliance Art Group,C,Jade Shen Yu,,77,83,95,
Hedgehog Brothers Entertainment,B,Hamy He Meiyan,,40,56,70,
Hippo Film,D,Sunny Jin Yangyang,,49,64,63,
Hippo Film,C,Monster Sun Meinan,,105,92,93,
Hippo Film,C,Zizi Xu Zhenzhen,,104,94,50,
Hippo Film,D,Zhang Menglu,,84,107,66,
Huayi Brothers,D,Uah Liu Yanan,,93,87,89,
Love & Peace,F,Aishah Ah Yixia,,54,91,101,
Joinhall Media,A,Yu Yan,A,30,31,21,
Jaywalk Newjoy,D,Poppy Liu Haihan,,102,97,106,
Jaywalk Newjoy,D,Tonkey Tang Keyi,,92,105,97,
Jaywalk Newjoy,C,Yealy Wang Yale,,91,80,79,
Jaywalk Newjoy,C,Bubble Zhu Linyu,,62,58,47,
Lionheart Entertainment,C,Kelly Lin Weixi,,28,47,56,
Lehui Media,B,Jacqueline Zhang Tianxin,,103,96,107,
Good@ Media,F,Hana Lin Xiaozhai,,18,26,31,
Maninquin Entertainment,F,Joey Chua Zhuoyi,D,5,5,7,
Mountain Top Entertainment,A,Snow Kong Xueer,B,10,8,9,
Mountain Top Entertainment,C,Lana Zhao Xiaotang,,61,10,3,
M+ Entertainment,B,Yennis Huang Xinyuan,,72,81,77,
M+ Entertainment,F,Nikita Huang Yiming,,70,93,80,
M+ Entertainment,D,Yuni Xiong Yuqing,,95,100,86,
OACA,B,Liu Lingzi,,39,28,36,
OACA,B,Milla Mi La,,87,101,102,
OACA,B,Seven Zou Siyang,,90,70,58,
OACA,B,Jenny Zeng Keni,,42,32,37,
OACA,B,Wang Mengyu / Aurora,,50,61,65,
Off/Shore Music,C,Gia Jin Jiya,,97,85,67,
Second Culture,F,NaHo Qi Sui,,43,22,24,
Shengyuan Inter Entertainment,B,Feng Ruohang,,46,51,49,
Shengyuan Inter Entertainment,D,Lynn Zhou Lincong,,98,76,74,
Shengyuan Inter Entertainment,D,Zha Yichen,,75,69,71,
Channy Dynasty,C,Joy Zhuoyi Namu,,74,84,92,
Shanghai Star48 Culture Media Group</br>SNH48,D,DDD Duan Yixuan,,12,12,17,
Shanghai Star48 Culture Media Group</br>SNH48,D,Momo Mo Han,,14,24,28,
Shanghai Star48 Culture Media Group</br>SNH48,D,Song Xinran,,22,35,35,
Shanghai Star48 Culture Media Group</br>SNH48,D,Three Sun Rui,,21,23,32,
Shanghai Star48 Culture Media Group</br>SNH48,D,Fei Qinyuan,,13,14,23,
Shanghai Star48 Culture Media Group</br>SNH48,D,Air Su Shanshan,,26,34,41,
